priority,item_id,title,status,rationale,depends_on,not_before,notes
P0,ARCH-P0-001,Canonical architecture baseline,done,Materialize accepted six-kernel OS architecture into canonical repo docs,none,now,Docs-only governance artifact
P0,ARCH-P0-002,Decision State Capture Contract v2,done,Define minimal append-only decision/no-action capture contract,ARCH-P0-001,now,Contract exists as docs/contracts/DECISION_STATE_CAPTURE_CONTRACT_V2.md
P0,ARCH-P0-003,Minimal Decision Capture Producer,done,Create first standalone producer for decisions and no-actions,ARCH-P0-002,now,Implemented as src.personal_decision_state_capture; current tracked artifact can be header-only
P0,ARCH-P0-004,LLM/Codex Operating Policy v1,done,Keep deterministic Python and human final decision boundaries explicit,ARCH-P0-001,now,Policy exists as docs/policies/LLM_CODEX_OPERATING_POLICY.md
P0,ARCH-P0-005,Patch 1 consolidation,done,SEC archival website separation and minimal platform foundation,ARCH-P0-004,now,Patch 1 consolidation
P0,ARCH-P0-006,Handoff metadata synchronization,done,Keep external handoff metadata ZIP-internal context and tracked repo state explicitly reconciled,ARCH-P0-004,now,External review packet metadata synchronized in chore: synchronize external review handoff packet
P0,ARCH-P0-007,Decision Capture append-only operationalization,done,Turn minimal Decision Capture producer into a manual append-only capture workflow,ARCH-P0-003,now,Implemented capture and validate-journal CLIs; no order execution outcome attribution or benchmark return calculation
P0,ARCH-P0-008,Personal Watchlist replacement,planned,Replace sample/demo watchlist input for personal decision readiness,ARCH-P0-004,next_data_contract_patch,Readiness artifacts show WATCHLIST_SAMPLE_INPUT active
P0,ARCH-P0-009,Valuation input closure,planned,Close required valuation KPI review inputs through approved private input only,ARCH-P0-004,next_data_contract_patch,Readiness artifacts show MISSING_VALUATION_REQUIRED active; no imputation
P0,ARCH-P0-010,Dividend FCF input closure,planned,Close required dividend/FCF KPI review inputs through approved private or reviewed SEC evidence path,ARCH-P0-004,next_data_contract_patch,Readiness artifacts show MISSING_DIVIDEND_FCF_REQUIRED active; no imputation
P0,ARCH-P0-011,KPI provenance closure,planned,Improve score-audit provenance coverage through reviewed evidence metadata,ARCH-P0-004,next_data_contract_patch,Readiness artifacts show PROVENANCE_INCOMPLETE active; no value changes
P0_NEXT,ARCH-P0N-001,Portfolio Event Ledger Contract v1,planned,Define accounting/event contract after decision capture creates real usage,ARCH-P0-003,after_one_month_or_several_decision_entries,Not built now
P0_NEXT,ARCH-P0N-002,Transaction and broker statement ingestion ergonomics review,planned,Assess operator workflow for transaction/broker statement capture,ARCH-P0N-001,after_decision_capture_usage,Review-only before implementation
P1,ARCH-P1-001,Phase 1 Step 1 Sparplan-Register + Universe-Dashboard,done,Implement read-only savings plan registry and Universe dashboard consolidation without routing or decisions,none,now,Feature patch completed without broker writes or new scoring
P1,ARCH-P1-002,Phase 1 Step 2 Sparplan-Routing,done,Add read-only execution-mode recommendation per monthly Buy candidate without broker writes or Decision Capture schema changes,ARCH-P1-001,now,Feature patch completed with deterministic routing and no new scoring
P1,ARCH-P1-003,Phase 1 Step 3 Cash-Refill + Rebalance-Review,done,Add read-only aggregate portfolio health reviews without sells tax quantification or monthly ranking suppression,ARCH-P1-002,now,Feature patch completed with separate portfolio health modules and no Decision Capture changes
P1,ARCH-P1-004,Descriptive Outcome Review Contract,planned,Capture later outcomes descriptively without optimization,ARCH-P1-005;ARCH-P1-002,after_real_decision_history,No attribution engine yet
