capability_id,display_name,declared_status,scope_classification,declared_scope,known_gaps_or_next_action,discovered_local_entry_point,inputs_found,outputs_generated_or_observed,tests_declared,command_executed_or_state,executable_from_repo_state,conservative_state,reason
broker_portfolio_input,Broker Portfolio Input,implemented,implemented,Read-only import; no broker writes or orders.,Keep broker/API write paths excluded.,src/import_broker.py,data/raw/,none_observed_in_outputs_capability_execution_audit,tests/test_import_normalization.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
traderepublic_documents,Trade Republic Documents,partial,partial,"Local document parsing exists, but private documents are not part of handoff bundles.",Keep parser read-only and privacy-gated.,src/traderepublic_documents.py,data/raw/,none_observed_in_outputs_capability_execution_audit,tests/test_traderepublic_documents.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
data_source_registry,Data Source Registry,implemented,implemented,Local file sources only; no secrets or API credentials.,Link to future Stage-DAG and freshness contract.,src/data_source_registry.py,configs/personal_run_data_sources.yaml,none_observed_in_outputs_capability_execution_audit,tests/test_data_source_registry.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
data_source_strategy_license_boundary,Data Source Strategy And License Boundary,partial,partial,"Governance strategy, license boundary contract, registry template, review checklist and read-only template validation preflight exist, but there is no active production source-registry enforcement. | No provider-specific approval, paid-data approval, legal/commercial review, production adapter, public redistribution approval or commercial readiness is asserted. | Data Freshness, provenance, source license and handoff boundaries are linked but remain separate controls.",Decide whether to add release-gate validation or proceed to Instrument Master Contract before provider-specific runtime integrations.,src/data_source_registry_validation.py,docs/architecture/CIOS_DATA_SOURCE_STRATEGY.md; docs/contracts/DATA_SOURCE_LICENSE_BOUNDARY_CONTRACT.md,none_observed_in_outputs_capability_execution_audit,tests/test_readme_and_reports.py; tests/test_data_source_registry_validation.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
data_source_registry_validation_preflight,Data Source Registry Validation Preflight,implemented,implemented,"Validates the template and conservative boundaries only; it does not approve providers, query data sources, enforce Personal Run runtime source usage or provide legal/commercial approval. | The preflight now blocks invalid source_type values, production-like current_status values, generic evidence_files as license evidence and commercial_use_allowed overclaims. | Existing configs/data_sources.yaml and configs/personal_run_data_sources.yaml remain operational local input configs, not license registries.",Optional release-gate wiring after external review; otherwise continue with Instrument Master Contract.,src/data_source_registry_validation.py,docs/architecture/CIOS_DATA_SOURCE_REGISTRY_TEMPLATE.yaml,none_observed_in_outputs_capability_execution_audit,tests/test_data_source_registry_validation.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
instrument_master_contract,Instrument Master Contract,partial,partial,"Contract and template-only architecture exist, but there is no production Instrument Master registry, runtime matching engine, automatic ISIN/ticker lookup or broker/provider mapping enforcement. | No broker import staging pipeline, Portfolio Event Ledger, corporate actions processing, FX conversion, replay, outcome attribution or dashboard expansion is implemented.",Portfolio Event Ledger Contract or Instrument Master Registry Template / Validation.,NOT_FOUND,docs/contracts/INSTRUMENT_MASTER_CONTRACT.md,none_observed_in_outputs_capability_execution_audit,tests/test_readme_and_reports.py,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_EXECUTABLE_FROM_REPO_STATE,No clear safe local entry point and input set found from committed repo state.
portfolio_rules,Portfolio Rules,implemented,implemented,"Rules support review and reporting, not order execution.",No portfolio-rule change in current roadmap patch.,src/portfolio_rules.py,configs/portfolio_rules.yaml; data/processed/personal_positions_snapshot.csv,none_observed_in_outputs_capability_execution_audit,tests/test_portfolio_rules.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
portfolio_review,Portfolio Review,implemented,implemented,"Action rows are review support, not executable orders.",Keep Portfolio Event Ledger separate.,src/portfolio_review.py,data/processed/personal_positions_snapshot.csv; data/processed/personal_company_scores.csv,none_observed_in_outputs_capability_execution_audit,tests/test_real_portfolio_onboarding.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
savings_plan_registry,Savings Plan Registry,implemented,implemented,Manual registry mirror; no broker write path.,Keep registry separate from execution.,src/savings_plan_registry.py,data/raw/savings_plan_registry.csv,none_observed_in_outputs_capability_execution_audit,tests/test_savings_plan_registry.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
savings_plan_routing,Savings Plan Routing,implemented,implemented,Routing is a read-only marker and not an order instruction.,No broker integration.,src/savings_plan_routing.py,data/processed/personal_monthly_buy_ranking.csv; data/raw/savings_plan_registry.csv,none_observed_in_outputs_capability_execution_audit,tests/test_savings_plan_routing.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
