panel_section,metric_name,metric_value,status,severity,source_artifact,reason_codes,display_label,display_hint,safe_cta
READINESS_OVERVIEW,demo_readiness,BLOCKED,BLOCKED,P0_BLOCKER,data/processed/personal_readiness_status_summary.csv,SYNTHETIC_OR_SAMPLE_DATA_VISIBLE;WATCHLIST_SAMPLE_INPUT,Demo readiness,Demo readiness is BLOCKED; this panel does not claim decision readiness.,Review active blockers
READINESS_OVERVIEW,decision_readiness,BLOCKED,BLOCKED,P0_BLOCKER,data/processed/personal_readiness_status_summary.csv,CORE_KPI_MISSING;DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE;VALUATION_REQUIRED_MISSING;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Decision readiness,Decision readiness is BLOCKED; this panel does not claim decision readiness.,Review active blockers
READINESS_OVERVIEW,dashboard_readiness,REVIEW,REVIEW,P1_REVIEW,data/processed/personal_readiness_status_summary.csv,WATCHLIST_REVIEW_OR_MISSING_DATA,Dashboard readiness,Dashboard readiness is REVIEW; this panel does not claim decision readiness.,Review active blockers
READINESS_OVERVIEW,handoff_readiness,REVIEW,REVIEW,P1_REVIEW,data/processed/personal_readiness_status_summary.csv,MISSING_METADATA;STALE_DERIVED_ARTIFACT,Handoff readiness,Handoff readiness is REVIEW; this panel does not claim decision readiness.,Review active blockers
BLOCKER_SUMMARY,active_p0_blocker_count,6,BLOCKED,P0_BLOCKER,data/processed/personal_readiness_blockers.csv,CORE_KPI_MISSING;DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;MISSING_METADATA;NO_IMPUTATION;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE;STALE_DERIVED_ARTIFACT;SYNTHETIC_OR_SAMPLE_DATA_VISIBLE;VALUATION_REQUIRED_MISSING;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Active P0_BLOCKER count,6 active blocker rows with severity P0_BLOCKER.,Review active blockers
BLOCKER_SUMMARY,active_p1_review_count,4,REVIEW,P1_REVIEW,data/processed/personal_readiness_blockers.csv,CORE_KPI_MISSING;DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;MISSING_METADATA;NO_IMPUTATION;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE;STALE_DERIVED_ARTIFACT;SYNTHETIC_OR_SAMPLE_DATA_VISIBLE;VALUATION_REQUIRED_MISSING;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Active P1_REVIEW count,4 active blocker rows with severity P1_REVIEW.,Review active blockers
BLOCKER_SUMMARY,active_p2_backlog_count,0,INFO,INFO,data/processed/personal_readiness_blockers.csv,CORE_KPI_MISSING;DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;MISSING_METADATA;NO_IMPUTATION;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE;STALE_DERIVED_ARTIFACT;SYNTHETIC_OR_SAMPLE_DATA_VISIBLE;VALUATION_REQUIRED_MISSING;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Active P2_BACKLOG count,0 active blocker rows with severity P2_BACKLOG.,Review active blockers
BLOCKER_SUMMARY,resolved_blocker_count,2,INFO,INFO,data/processed/personal_readiness_blockers.csv,ARTIFACT_DRIFT;MONTHLY_SCHEMA_DRIFT,Resolved blocker count,Resolved blockers are shown separately from active blockers.,Inspect resolved blockers
SEC_PREFLIGHT,sec_preflight_status,USER_AGENT_MISSING,REVIEW,P1_REVIEW,data/processed/personal_sec_refresh_preflight_summary.csv,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;FETCH_MODULE_AVAILABLE;NO_EVIDENCE_APPLY;NO_FETCH_PERFORMED;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_NETWORK_PERFORMED;NO_RAW_SEC_SNAPSHOT_WRITTEN;NO_SCORE_MUTATION;REFRESH_CLI_AVAILABLE;REVIEW_REQUIRED;SEC_IDENTITY_MAP_PRESENT;SEC_REFRESH_PLAN_READY;SEC_USER_AGENT_MISSING,SEC preflight,SEC refresh remains gated; no network or fetch was performed.,Prepare explicit SEC refresh
SEC_PREFLIGHT,sec_core_plan_ready_rows,4,INFO,INFO,data/processed/personal_sec_core_kpi_refresh_plan_summary.csv,ALLOW_NETWORK_REQUIRED_FOR_FUTURE_REFRESH;CORE_KPI_MISSING;NO_EVIDENCE_APPLY;NO_MASTER_MUTATION;NO_NETWORK_BY_DEFAULT;NO_SCORE_MUTATION;NO_VALUE_FETCH;READY_FOR_EXPLICIT_SEC_REFRESH;SEC_IDENTITY_AVAILABLE;SEC_USER_AGENT_REQUIRED_FOR_FUTURE_REFRESH,SEC core KPI plan-ready rows,Rows are structurally ready for a future explicit SEC refresh after gates are satisfied.,Review SEC preflight
PRIVATE_INPUTS,valuation_private_input_status,MISSING,BLOCKED,P0_BLOCKER,data/processed/personal_private_input_review_summary.csv,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Valuation private input,Approved rows: 0; missing rows: 10.,Review private valuation inputs
PRIVATE_INPUTS,dividend_fcf_private_input_status,MISSING,BLOCKED,P0_BLOCKER,data/processed/personal_private_input_review_summary.csv,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION,Dividend Fcf private input,Approved rows: 0; missing rows: 10.,Review dividend / FCF inputs
PRIVATE_INPUTS,valuation_candidate_rows,0,REVIEW,P1_REVIEW,data/processed/personal_private_input_apply_candidates_summary.csv,INPUT_FILE_MISSING;NO_APPROVED_INPUTS;NO_IMPUTATION;NO_MASTER_MUTATION;NO_SCORE_MUTATION;PUBLIC_OUTPUT_SANITIZED;VALUATION_REQUIRED_MISSING,Valuation apply candidates,Public outputs are sanitized and candidate values remain private.,Review private input workflow
PRIVATE_INPUTS,dividend_fcf_candidate_rows,0,REVIEW,P1_REVIEW,data/processed/personal_private_input_apply_candidates_summary.csv,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_APPROVED_INPUTS;NO_IMPUTATION;NO_MASTER_MUTATION;NO_SCORE_MUTATION;PUBLIC_OUTPUT_SANITIZED,Dividend Fcf apply candidates,Public outputs are sanitized and candidate values remain private.,Review private input workflow
WATCHLIST,watchlist_readiness_status,BLOCKED,BLOCKED,P0_BLOCKER,data/processed/personal_watchlist_input_gate_summary.csv,WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Watchlist readiness,Input status: SAMPLE_DEMO_ONLY; data status: MISSING_DATA.,Replace sample watchlist
HANDOFF,handoff_readiness,REVIEW,REVIEW,P1_REVIEW,data/processed/personal_readiness_status_summary.csv,MISSING_METADATA;STALE_DERIVED_ARTIFACT,Handoff readiness,Handoff remains separate from decision readiness and is based on packaged evidence status.,Review handoff package
