scope,check_name,status,severity,matches_count,violating_matches_count,allowed_matches_count,source_paths,reason_codes,recommended_fix
website,brand_consistency,PASS,INFO,12,0,12,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/scripts/capture-screenshots.mjs,BRAND_OK,Keep visible product copy on Compound Income OS.
website,readiness_claims,PASS,P0_BLOCKER,11,0,11,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/scripts/capture-screenshots.mjs,READINESS_CLAIMS_OK,Replace positive readiness language with blocked/private-preview framing.
website,public_launch_claims,PASS,P0_BLOCKER,10,0,10,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/scripts/capture-screenshots.mjs,PUBLIC_LAUNCH_FRAMING_OK,Keep public-launch blockers visible and avoid launch-ready claims.
website,advice_action_language,PASS,P0_BLOCKER,11,0,11,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/scripts/capture-screenshots.mjs,ACTION_LANGUAGE_OK,Remove market-action language from visible CTA/display copy.
website,cta_safety,PASS,P0_BLOCKER,0,0,1,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md,CTA_SAFETY_OK,Use real routes or pending/disabled states for unset external URLs.
website,privacy_data_leakage,PASS,P0_BLOCKER,0,0,0,website/compound-income-os-landing/src/App.jsx|website/compound-income-os-landing/src/siteConfig.js|website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/scripts/capture-screenshots.mjs|website/compound-income-os-landing/public/demo,PRIVACY_GUARDRAILS_OK,"Remove private raw paths, SEC identity markers, notes, or private values."
website,public_launch_blocker_visibility,PASS,P1_REVIEW,5,0,5,website/compound-income-os-landing/README.md|website/compound-income-os-landing/DEPLOYMENT_NOTES.md|website/compound-income-os-landing/src/App.jsx,PUBLIC_LAUNCH_BLOCKERS_VISIBLE,Keep imprint/privacy/CTA/pricing/no-public-deploy blockers visible.
website,screenshot_coverage,PASS,P1_REVIEW,6,0,6,website/compound-income-os-landing/scripts/capture-screenshots.mjs,SCREENSHOT_COVERAGE_OK,Keep all six main private-preview pages screenshot-covered.
qa_artifacts,route_matrix_linkage,PASS,P1_REVIEW,1,0,1,data/processed/website_private_preview_qa_summary.csv,ROUTE_MATRIX_PASS,Regenerate route matrix QA if route coverage drifts.
qa_artifacts,static_build_qa_linkage,PASS,P1_REVIEW,1,0,1,data/processed/website_static_build_package_summary.csv,STATIC_BUILD_PASS|PUBLIC_DEPLOY_False,Regenerate static build QA if build/package status drifts.
qa_artifacts,readiness_payload_linkage,PASS,P1_REVIEW,2,0,2,website/compound-income-os-landing/public/demo/readiness_payload.sample.json|data/processed/dashboard_readiness_payload.json,PUBLIC_SAMPLE_VALID|DASHBOARD_PAYLOAD_VALID,Regenerate sanitized readiness payload if JSON validity or source linkage fails.
website,home_subline_claim,PASS,P1_REVIEW,0,0,1,website/compound-income-os-landing/src/App.jsx,HOME_SUBLINE_NEUTRALIZED,Use neutral report/re-open wording instead of trust-ready decision wording.
