ticker,isin,company_name,company_type_profile,missing_valuation_kpis,normalized_fcf_yield_pct,target_fcf_yield_pct,valuation_review_status,valuation_source_type,valuation_source_name,valuation_source_reference,valuation_source_as_of_date,valuation_reviewed_by,valuation_reviewed_at,valuation_notes,valuation_input_status,reason_code,recommended_next_action
US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US0378331005,US0378331005,Apple Inc. Registered Shares o.N.,STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US0394831020,US0394831020,Archer Daniels Midland Co. Registered Shares o.N.,STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US2546871060,US2546871060,"Walt Disney Co., The Registered Shares DL -,01",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US5949181045,US5949181045,"Microsoft Corp. Registered Shares DL-,00000625",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US69608A1088,US69608A1088,Palantir Technologies Inc. Registered Shares o.N.,STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
US98138J5039,US98138J5039,"Workhorse Group Inc. Registered Shares New DL-,001",STANDARD,normalized_fcf_yield_pct; target_fcf_yield_pct,,,,,,,,,,,MISSING,INPUT_FILE_MISSING;NO_IMPUTATION;VALUATION_REQUIRED_MISSING,Populate a private reviewed valuation input file; do not impute values.
