metric,value,notes
blocked_checks_total,4,Checks with BLOCKED status.
checks_total,8,Number of reconciliation checks.
decision_readiness_status,BLOCKED,Conservative status from reconciliation checks.
delta_score_data_quality__BLOCKED,0,Evidence-applied delta summary data-quality count.
delta_score_data_quality__MISSING_DATA,17,Evidence-applied delta summary data-quality count.
delta_score_data_quality__OK,0,Evidence-applied delta summary data-quality count.
delta_score_data_quality__REVIEW,0,Evidence-applied delta summary data-quality count.
demo_readiness_status,BLOCKED,Conservative status from reconciliation checks.
evidence_delta_current_missing_required_kpi_total,10,Current missing required KPI count from evidence-applied delta summary.
kpi_tier_resulting_monthly_action__DO_NOT_BUY,7,KPI tier resulting monthly action count.
kpi_tier_resulting_monthly_action__REVIEW_CORE_DATA,4,KPI tier resulting monthly action count.
kpi_tier_resulting_monthly_action__WAIT_VALUATION,6,KPI tier resulting monthly action count.
missing_kpi_closure_missing_required_kpi_total,10,Baseline from missing-KPI closure summary.
monthly_action__NO_ACTION,1,Neutral monthly_action count from compatibility summary.
monthly_action__WAIT_FOR_VALUATION,17,Neutral monthly_action count from compatibility summary.
monthly_action_compatibility_available,True,Neutral monthly_action compatibility artifact available.
monthly_action_forbidden_values_total,0,Forbidden monthly_action values in compatibility summary.
monthly_has_allocation_status,True,Schema check.
monthly_has_monthly_action,False,Schema check.
monthly_has_target_action,True,Schema check.
monthly_rows_total,18,Rows in personal_monthly_buy_ranking.csv.
monthly_schema_drift_resolved,True,Monthly schema drift check resolved by direct field or companion compatibility artifact.
monthly_target_action__DO_NOT_BUY,7,Monthly target_action count.
monthly_target_action__HOLD_CASH,1,Monthly target_action count.
monthly_target_action__REVIEW_CORE_DATA,4,Monthly target_action count.
monthly_target_action__WAIT_VALUATION,6,Monthly target_action count.
not_available_checks_total,0,Checks with NOT_AVAILABLE status.
readiness_reason_codes,ARTIFACT_DRIFT;MISSING_DIVIDEND_FCF_REQUIRED;MISSING_VALUATION_REQUIRED;PROVENANCE_INCOMPLETE;REVIEW_CORE_DATA;WATCHLIST_REVIEW_OR_MISSING_DATA;WATCHLIST_SAMPLE_INPUT,Union of BLOCKED/REVIEW/NOT_AVAILABLE reason codes.
review_checks_total,2,Checks with REVIEW status.
score_data_quality__BLOCKED,0,Current score CSV data-quality count.
score_data_quality__MISSING_DATA,11,Current score CSV data-quality count.
score_data_quality__OK,0,Current score CSV data-quality count.
score_data_quality__REVIEW,6,Current score CSV data-quality count.
score_delta_mismatch_statuses,MISSING_DATA;REVIEW,Statuses whose score CSV and delta summary counts differ.
score_rows_total,17,Rows in personal_company_scores.csv.
scoring_fundamentals_master_path,data/processed/personal_fundamentals_master_evidence_applied.csv,Observed scoring fundamentals master path.
scoring_fundamentals_source_mode,EVIDENCE_APPLIED,Observed from used-inputs/manifest.
standard_missing_dividend_fcf_required_rows_total,10,STANDARD rows missing dividend/FCF-required data.
standard_missing_valuation_required_rows_total,10,STANDARD rows missing valuation-required data.
standard_review_core_data_rows_total,4,STANDARD rows with resulting_monthly_action=REVIEW_CORE_DATA.
standard_rows_total,10,Rows in KPI tier coverage with company_type_profile=STANDARD.
warnings_total,0,Missing input warnings.
watchlist_data_quality__MISSING_DATA,8,Watchlist data-quality count.
watchlist_input_path,data/raw/sample_watchlist.csv,Observed watchlist input path from used inputs.
watchlist_rows_total,8,Rows in personal_watchlist_ranked.csv.
watchlist_status__REVIEW,8,Watchlist status count.
