blocker_code,blocker_status,blocker_severity,readiness_scope,reason_codes,source_artifact,observed_value,recommended_next_action,requires_private_input,requires_value_change,requires_external_api
MISSING_VALUATION_REQUIRED,ACTIVE,P0_BLOCKER,DECISION,INPUT_FILE_MISSING;NO_IMPUTATION;PROFILE_NOT_STANDARD;VALUATION_REQUIRED_MISSING,data/processed/personal_valuation_input_contract_summary.csv,affected_rows=10; approved_rows=0,Fill reviewed private valuation input or keep readiness blocked.,yes,yes_reviewed_input_only,no
MISSING_DIVIDEND_FCF_REQUIRED,ACTIVE,P0_BLOCKER,DECISION,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION;PROFILE_NOT_STANDARD;SEC_IDENTITY_AVAILABLE,data/processed/personal_dividend_fcf_input_contract_summary.csv,affected_rows=10; approved_rows=0,Fill reviewed private dividend/fcf input or use the reviewed SEC evidence path.,yes,yes_reviewed_input_only,no
REVIEW_CORE_DATA,ACTIVE,P0_BLOCKER,DECISION,CORE_KPI_MISSING;NO_VALUE_CHANGES;PROFILE_NOT_STANDARD;REVIEW_CORE_DATA;SEC_IDENTITY_AVAILABLE,data/processed/personal_core_kpi_closure_summary.csv,affected_rows=4; sec_evidence_possible=4,Review core KPI closure queue through SEC or manual evidence; do not impute values.,maybe,yes_reviewed_input_only,no
PROVENANCE_INCOMPLETE,ACTIVE,P0_BLOCKER,DECISION,PROVENANCE_INCOMPLETE,data/processed/personal_score_audit_provenance_summary.csv,holdings_with_incomplete_provenance=10,Increase source metadata coverage through the reviewed evidence registry and apply path.,maybe,no,no
WATCHLIST_SAMPLE_INPUT,ACTIVE,P0_BLOCKER,DEMO,WATCHLIST_SAMPLE_INPUT,data/processed/personal_watchlist_input_gate_summary.csv,watchlist_input_status=SAMPLE_DEMO_ONLY; path=data/raw/sample_watchlist.csv,Replace sample watchlist with reviewed personal watchlist input or keep demo-only gate.,yes,yes_reviewed_input_only,no
WATCHLIST_SAMPLE_INPUT,ACTIVE,P0_BLOCKER,DECISION,WATCHLIST_SAMPLE_INPUT,data/processed/personal_watchlist_input_gate_summary.csv,watchlist_readiness_status=BLOCKED,Replace sample watchlist with reviewed personal watchlist input or keep decision readiness blocked.,yes,yes_reviewed_input_only,no
WATCHLIST_REVIEW_OR_MISSING_DATA,ACTIVE,P1_REVIEW,DECISION,WATCHLIST_REVIEW_OR_MISSING_DATA,data/processed/personal_watchlist_input_gate_summary.csv,watchlist_data_status=MISSING_DATA,Review watchlist data quality before using it for decision workflow outputs.,yes,yes_reviewed_input_only,no
WATCHLIST_REVIEW_OR_MISSING_DATA,ACTIVE,P1_REVIEW,DASHBOARD,WATCHLIST_REVIEW_OR_MISSING_DATA,data/processed/personal_watchlist_input_gate_summary.csv,watchlist_data_status=MISSING_DATA,"Render dashboard watchlist state as diagnostic review, not decision-ready status.",yes,yes_reviewed_input_only,no
MONTHLY_SCHEMA_DRIFT,RESOLVED,INFO,DASHBOARD,MONTHLY_SCHEMA_DRIFT_RESOLVED,data/processed/personal_monthly_action_compatibility_summary.csv,monthly_schema_drift_resolved=True,No action.,no,no,no
ARTIFACT_DRIFT,RESOLVED,INFO,HANDOFF,ARTIFACT_DRIFT_RESOLVED,data/processed/personal_artifact_freshness_summary.csv,artifact_drift_active=False,No action.,no,no,no
MISSING_METADATA,ACTIVE,P1_REVIEW,HANDOFF,MISSING_METADATA,data/processed/personal_artifact_freshness_summary.csv,freshness_reason_codes=MISSING_METADATA;STALE_DERIVED_ARTIFACT,Add comparable run metadata or regenerate stale derived artifacts before external review.,no,no,no
STALE_ARTIFACT,ACTIVE,P1_REVIEW,HANDOFF,STALE_DERIVED_ARTIFACT,data/processed/personal_artifact_freshness_summary.csv,freshness_reason_codes=MISSING_METADATA;STALE_DERIVED_ARTIFACT,Regenerate stale derived artifacts only through committed deterministic modules.,no,no,no
PUBLIC_LAUNCH_BLOCKERS,DEFERRED,P1_REVIEW,HANDOFF,PRIVATE_PREVIEW_ONLY,website/compound-income-os-landing/DEPLOYMENT_NOTES.md,public_launch_blockers_documented=True,"Keep public launch deferred until legal pages, real targets, and scope are verified.",no,no,no
NO_REAL_CTA_TARGETS,DEFERRED,P1_REVIEW,HANDOFF,PRIVATE_PREVIEW_CTA_PENDING,website/compound-income-os-landing/.env.example,cta_targets_unset_in_template=True,Configure real CTA targets before public launch.,no,no,no
NO_IMPRINT_PRIVACY,DEFERRED,P1_REVIEW,HANDOFF,PUBLIC_LEGAL_LINKS_PENDING,website/compound-income-os-landing/.env.example,imprint_or_privacy_url_unset_in_template=True,Configure verified imprint and privacy URLs before public launch.,no,no,no
SAMPLE_OR_SYNTHETIC_DEMO_DATA,ACTIVE,INFO,DEMO,SYNTHETIC_OR_SAMPLE_DATA_VISIBLE,website/compound-income-os-landing/DEPLOYMENT_NOTES.md;data/processed/personal_watchlist_input_gate_summary.csv,sample_or_synthetic_demo_data_present=True,Keep sample and synthetic data labels visible in demos.,no,no,no
