ticker,isin,company_name,sector,country,asset_type,sleeve,current_price_eur,quality_score,dividend_score,balance_sheet_score,growth_quality_score,capital_allocation_score,mandate_fit_score,pe_current,pe_hist,ev_ebit_current,ev_ebit_hist,fcf_yield_current_pct,fcf_yield_hist_pct,normalized_fcf_yield_pct,target_fcf_yield_pct,dividend_yield_current_pct,dividend_yield_hist_pct,expected_return_pct,drawdown_from_high_pct,has_hard_risk_flag,thesis_robustness,thesis_summary,main_risks,data_quality_flag
GOOGL,US02079K3059,Alphabet A,Communication Services,USA,STOCK,SINGLE_STOCK,455,91,28,96,88,94,90,24,26,18,19,4.2,4.0,4.5,4.2,0.0,0.0,11,17,false,ROBUST,dominant platform with disciplined reinvestment,ai competition,OK
JDEP,NL0014332678,JDE Peet's,Consumer Staples,Netherlands,STOCK,SINGLE_STOCK,305,73,74,68,58,66,70,15,17,11,12,5.8,5.2,5.9,5.5,2.4,2.1,8,22,false,ROBUST,steady staples cash flow with moderate growth,private label and commodity pressure,OK
ASML,NL0010273215,ASML,Technology,Netherlands,STOCK,SINGLE_STOCK,475,97,34,96,95,95,93,33,31,25,23,3.0,3.2,3.1,3.2,1.1,1.0,9,14,false,ROBUST,mission critical semiconductor tooling franchise,cyclical semiconductor capex,OK
ADM,US0394831020,Archer Daniels Midland,Consumer Staples,USA,STOCK,SINGLE_STOCK,285,76,78,70,60,72,74,13,15,9,10,6.1,5.6,6.0,5.5,2.8,2.4,10,28,false,ROBUST,global agriculture processor with dividend record,commodity spread volatility,OK
V,US92826C8394,Visa,Financials,USA,STOCK,SINGLE_STOCK,440,95,55,94,90,94,95,29,30,24,24,3.4,3.3,3.6,3.4,0.8,0.7,11,12,false,ROBUST,payment network compounder with strong moat,regulatory pressure,OK
MSFT,US5949181045,Microsoft,Technology,USA,STOCK,SINGLE_STOCK,465,96,52,93,93,95,95,31,32,24,25,3.1,3.0,3.4,3.3,0.7,0.8,12,11,false,ROBUST,diversified platform compounding across software and cloud,antitrust and ai capex,OK
BRK.B,US0846707026,Berkshire Hathaway B,Financials,USA,STOCK,SINGLE_STOCK,360,94,18,98,82,99,92,18,20,15,16,5.0,4.7,5.3,4.8,0.0,0.0,10,8,false,ROBUST,capital allocation vehicle with fortress balance sheet,manager succession,OK
CRWD,US22788C1053,CrowdStrike Holdings A,Technology,USA,STOCK,SINGLE_STOCK,300,88,5,82,90,78,78,65,55,48,39,1.6,1.9,1.8,2.8,0.0,0.0,7,25,false,ROBUST,security platform with strong growth but rich valuation,execution and multiple compression,OK
BLK,US09290D1019,BlackRock,Financials,USA,STOCK,SINGLE_STOCK,325,89,79,88,78,90,88,21,19,15,14,4.8,4.4,5.0,4.5,2.7,2.4,10,18,false,ROBUST,asset manager with scale and cash returns,market sensitivity,OK
TSM,US8740391003,TSMC ADR,Technology,Taiwan,ADR,SINGLE_STOCK,360,94,46,92,93,88,91,22,19,15,13,4.5,4.0,4.9,4.4,1.5,1.4,12,20,false,ROBUST,leading semiconductor foundry with scale advantage,geopolitical concentration,OK
PLTR,US69608A1088,Palantir Technologies,Technology,USA,STOCK,SINGLE_STOCK,250,78,0,86,88,72,74,62,40,44,28,1.7,1.8,1.9,2.8,0.0,0.0,6,30,false,ROBUST,strong software economics but valuation demanding,government concentration and sentiment,OK
AAPL,US0378331005,Apple,Technology,USA,STOCK,SINGLE_STOCK,355,94,42,90,82,94,92,28,24,21,18,3.6,3.7,3.8,3.6,0.6,0.7,8,19,false,ROBUST,ecosystem cash machine with premium capital returns,services regulation,OK
SQ,US8522341036,Block,Financials,USA,STOCK,SINGLE_STOCK,220,60,0,55,58,52,48,34,28,24,20,2.3,2.5,2.4,3.5,0.0,0.0,3,42,true,FRAGILE,turnaround and platform optionality but weak quality,execution and credit risk,REVIEW
DIS,US2546871060,Walt Disney,Communication Services,USA,STOCK,SINGLE_STOCK,245,66,20,62,55,58,60,24,20,16,14,3.5,3.7,3.6,4.0,0.3,1.0,5,32,false,REVIEW,valuable assets but thesis not fully repaired,streaming economics and parks cyclicality,REVIEW
ALFEN,NL0012817175,Alfen,Industrials,Netherlands,STOCK,SINGLE_STOCK,190,54,0,48,52,45,42,38,24,26,16,2.4,3.1,2.5,4.0,0.0,0.0,-2,55,true,FRAGILE,energy transition tailwind but weak current economics,margin compression and execution,REVIEW
IWMO,IE00BP3QZ825,MSCI World Momentum ETF,ETF,Global,ETF,DIVIDEND_QUALITY_ETF,105,70,22,80,60,50,58,0,0,0,0,0,0,0,0,0,0,5,12,false,REVIEW,small thematic allocation not a strategic core holding,style concentration and missing valuation data,MISSING_DATA
